Crop,Water Use (m³/kg),Irrigation Type,Climate,Yield (tons/ha),Water-Saving Practices,Water Pollution (Grey Water) (m³/kg),Soil Type,Water Scarcity,Post-Harvest Processing (Liters/kg),Fertilizer Use (kg/ha),Pesticide Use (kg/ha),Organic Practices,Green Water Use (m³/kg),Blue Water Use (m³/kg),Crop Cycle Duration (days),Harvest Season,Temperature Requirement (°C),Rainfall Requirement (mm/year),CO2 Emission (kg/ha),Land Use (ha/kg),Crop Rotation Practices,Average Farm Size (ha),Processing Water Recycling,Local Market,Export Market,Genetically Modified,Irrigation Efficiency (%),Seed Use (kg/ha),Labor Intensity
Rice,3053,Sprinkler,Temperate,5.74,Efficient Irrigation,687,Loamy,High,125,87,33,Yes,1720,10228,358,Summer,10,1698,4.843097679,0.411068332,No,10.25193125,Yes,Yes,No,No,79,98,Low
Tomatoes,18495,Flood,Mediterranean,5.62,Mulching,580,Clayey,Moderate,200,280,53,No,3478,5329,161,Spring,16,773,5.562978927,2.420578426,No,5.002068186,Yes,Yes,No,Yes,60,76,High
Sugarcane,8472,Sprinkler,Arid,5.98,Mulching,180,Silty,Low,124,294,87,Yes,2800,4934,238,Winter,18,1936,9.079453473,0.701618959,Yes,19.53829227,Yes,Yes,No,No,56,16,Medium
Cauliflower,18458,Flood,Mediterranean,2.52,None,494,Clayey,Moderate,16,182,24,Yes,4454,656,126,Summer,14,1710,8.700840918,2.328478933,Yes,14.51454022,Yes,No,No,No,63,93,Low
Pineapples,10124,Drip,Continental,1.97,Crop Cover,285,Clayey,Severe,170,157,90,No,4873,7538,154,Summer,27,1545,7.043267129,4.461667687,No,18.25318317,Yes,No,Yes,Yes,76,92,High
Sugarcane,13313,Drip,Semi-arid,6.75,Mulching,944,Silty,Severe,11,151,99,No,2701,8543,270,Summer,16,1233,8.054312789,3.286312049,No,10.54874658,Yes,No,Yes,No,50,50,Medium
Cabbage,4534,None,Mediterranean,5.04,Efficient Irrigation,927,Loamy,Low,146,214,12,No,2847,2082,319,Autumn,14,650,6.382427968,0.294970493,No,3.269612968,No,No,No,No,71,22,High
Corn,9923,Flood,Temperate,5.82,Mulching,563,Silty,Moderate,73,260,52,Yes,2410,4829,317,Spring,37,530,8.737108842,2.275614275,No,5.197987755,Yes,Yes,No,No,59,50,Low
Cotton,14246,Sprinkler,Arid,4.28,Crop Cover,607,Sandy,Moderate,28,193,50,No,4905,8523,212,Spring,25,867,1.998639001,3.607569739,No,17.12245804,Yes,Yes,No,No,91,96,Low
Grapes,15792,Flood,Semi-arid,9.8,Mulching,506,Silty,High,32,200,56,Yes,3064,8229,288,Autumn,34,1628,6.132587756,4.956600497,Yes,14.86008216,Yes,Yes,No,Yes,59,88,Medium
Soybeans,9621,Flood,Semi-arid,4.67,None,864,Sandy,High,53,193,64,No,1666,10551,165,Winter,32,1227,8.592974225,3.632788719,Yes,11.60328718,Yes,Yes,Yes,No,90,36,High
Plums,9341,None,Arid,4,Crop Cover,254,Silty,High,125,144,80,No,883,11519,165,Summer,26,883,8.8151905,3.640040318,No,17.6031503,No,Yes,No,Yes,80,33,High
Potatoes,9674,Flood,Temperate,6.8,Crop Cover,750,Silty,High,90,135,73,Yes,3904,13217,337,Autumn,28,1207,1.720730522,1.328142321,Yes,6.284164309,Yes,No,Yes,No,74,80,Medium
Peaches,11037,Sprinkler,Semi-arid,8.45,Efficient Irrigation,107,Clayey,Moderate,37,201,29,No,400,13969,249,Winter,29,1662,7.553312317,3.360373968,No,19.41650077,No,Yes,Yes,Yes,67,46,Medium
Rice,3928,Sprinkler,Mediterranean,7.5,Crop Cover,183,Silty,High,80,287,42,No,2947,14019,133,Spring,16,1941,8.32162273,2.822823468,No,19.50924275,No,Yes,No,Yes,60,33,High
Apples,14999,None,Mediterranean,6.32,Efficient Irrigation,786,Sandy,Severe,100,70,26,Yes,1084,9502,198,Summer,14,848,5.033907842,2.128028496,No,3.509367339,No,No,No,No,93,24,Medium
Zucchini,16361,Drip,Continental,5.27,None,583,Silty,Severe,186,149,31,No,2873,9324,60,Summer,21,1092,8.216068388,1.763324888,No,19.66559651,No,Yes,No,Yes,55,93,High
Zucchini,13787,None,Semi-arid,4.31,None,543,Sandy,Low,137,276,64,No,3927,2171,119,Summer,18,673,6.83612259,3.805466147,Yes,2.817416379,Yes,No,No,No,67,38,High
Carrots,2072,Drip,Semi-arid,4.37,None,185,Loamy,Low,35,56,81,Yes,4904,6718,267,Spring,35,747,4.983512564,3.590791717,Yes,13.89423414,Yes,No,No,Yes,87,87,High
Cauliflower,9180,Drip,Arid,6.69,None,565,Sandy,Moderate,78,275,64,No,836,14161,78,Winter,10,1366,4.258340229,1.040515617,Yes,2.697759107,No,Yes,No,No,88,92,Low
Cucumbers,1857,None,Tropical,4.84,None,115,Loamy,Low,45,281,76,Yes,3062,12420,76,Winter,28,1083,7.209098529,0.415468788,No,6.620322715,Yes,Yes,Yes,Yes,50,23,Low
Corn,8079,Flood,Temperate,7.93,Mulching,878,Loamy,Severe,35,90,61,Yes,1320,248,149,Summer,31,1595,5.955992637,3.464745698,Yes,12.55846857,Yes,Yes,No,No,57,73,High
Wheat,17843,Flood,Temperate,6.38,Crop Cover,684,Loamy,High,117,182,20,Yes,2484,13279,140,Winter,26,339,5.570254953,3.885208508,No,7.168696982,Yes,Yes,No,No,62,44,Low
Plums,6233,Drip,Semi-arid,6.03,None,964,Loamy,High,116,164,27,No,3969,8206,350,Summer,23,251,7.839661936,0.585955604,No,16.41685426,No,No,Yes,No,79,88,Medium
Strawberries,11238,Sprinkler,Semi-arid,7.54,Crop Cover,872,Silty,Moderate,116,225,27,No,2828,13405,106,Spring,20,674,1.899084641,0.164202299,Yes,5.038269884,Yes,Yes,Yes,Yes,58,77,Medium
Cauliflower,804,Flood,Tropical,4.95,Crop Cover,264,Sandy,Severe,142,59,96,Yes,999,3516,223,Spring,29,495,2.265440742,0.73105717,Yes,17.00231466,Yes,Yes,Yes,Yes,64,26,High
Oats,16957,Sprinkler,Mediterranean,2.03,Mulching,924,Loamy,Severe,34,136,57,Yes,555,11048,201,Winter,37,429,8.281495203,4.771206847,No,15.84542392,No,Yes,Yes,Yes,60,69,Low
Melons,14926,Drip,Continental,7.63,Crop Cover,134,Sandy,Severe,98,289,35,No,4310,10781,280,Winter,13,1964,6.57728152,2.422086226,Yes,19.69710921,Yes,Yes,No,No,69,61,Medium
Garlic,3230,None,Temperate,9.71,Efficient Irrigation,699,Sandy,Severe,146,261,49,No,1392,5146,64,Summer,40,676,1.554609017,2.646755271,Yes,19.2148455,No,No,No,No,69,65,High
Carrots,6244,Drip,Semi-arid,6.16,None,986,Silty,Low,54,113,80,No,4618,12088,363,Autumn,14,439,1.801211797,3.302557941,Yes,19.24581245,Yes,No,Yes,No,68,59,Low
Soybeans,1688,Drip,Arid,5.52,Efficient Irrigation,791,Clayey,Moderate,153,209,51,No,313,13309,82,Winter,12,575,4.930610901,2.802271621,No,4.088269212,No,Yes,Yes,Yes,68,44,Low
Barley,1917,Drip,Tropical,3.51,None,202,Loamy,Severe,166,54,16,Yes,4913,1072,85,Autumn,40,1798,6.578322288,2.688200839,No,1.712823855,No,Yes,Yes,No,53,98,Medium
Apples,8593,None,Mediterranean,5.6,Mulching,493,Loamy,Moderate,38,240,18,Yes,2393,1510,250,Spring,27,1988,9.283922523,1.35588254,Yes,18.33338015,No,Yes,No,No,93,21,Medium
Quinoa,19652,Flood,Continental,7.79,Mulching,588,Silty,Severe,152,116,50,No,2971,5645,282,Summer,26,1026,9.162985233,3.072613686,No,5.955326747,Yes,Yes,Yes,Yes,84,48,High
Oats,11429,Flood,Mediterranean,9.67,Efficient Irrigation,934,Clayey,Severe,191,86,22,No,4797,14706,208,Summer,36,500,7.886029782,4.162941334,No,9.182154191,Yes,Yes,Yes,No,76,51,Low
Sugarcane,16111,Flood,Continental,8.69,None,431,Sandy,Low,11,127,15,No,2906,1602,97,Spring,12,1466,3.081318218,4.703973484,No,15.22347511,Yes,No,No,No,84,25,Low
Wheat,14761,None,Arid,8.21,None,921,Clayey,High,165,199,12,No,3272,10835,334,Spring,14,1385,8.371117512,2.176344589,No,8.853762871,No,Yes,No,Yes,67,73,Low
Sugarcane,10520,Flood,Continental,1.36,Mulching,175,Clayey,Low,132,274,97,Yes,1184,6493,315,Autumn,22,212,8.571501983,2.305312949,Yes,5.746317656,Yes,Yes,No,No,61,97,Low
Garlic,2985,Flood,Arid,2.75,Mulching,801,Silty,High,158,104,57,No,1880,5652,85,Summer,20,583,3.965441125,0.668647416,No,17.24399985,Yes,No,No,No,50,17,Low
Garlic,593,Flood,Temperate,5.54,Mulching,224,Loamy,Severe,83,263,12,No,2560,14376,295,Winter,20,1899,2.326787045,4.750992205,Yes,6.557375921,Yes,Yes,Yes,No,54,77,High
Mangoes,5594,None,Continental,5.83,Efficient Irrigation,627,Silty,Moderate,104,81,93,Yes,3861,7022,252,Autumn,39,1009,6.177365904,1.328207987,No,14.7743387,Yes,Yes,Yes,Yes,51,35,Low
Peppers,13101,Flood,Arid,3.69,Crop Cover,693,Loamy,Moderate,25,214,20,Yes,4891,4726,200,Summer,24,1297,4.591333598,1.099090287,No,16.71449985,Yes,Yes,Yes,Yes,50,82,High
Avocados,11146,Flood,Tropical,1.67,Mulching,255,Loamy,Low,91,150,66,Yes,4433,1189,166,Autumn,20,1030,1.055189463,2.232497411,No,16.11709905,No,No,No,Yes,70,96,Medium
Bananas,11215,Sprinkler,Semi-arid,2.41,None,282,Loamy,Moderate,71,210,22,Yes,4482,2955,293,Spring,22,1050,3.061397206,4.878433524,No,12.72690252,No,Yes,Yes,Yes,54,95,Medium
Melons,6943,None,Arid,1.68,Mulching,381,Silty,Moderate,36,159,74,No,1957,5895,275,Autumn,18,812,6.926721068,4.907178797,Yes,3.38436338,No,No,No,No,86,28,Low
Apples,9384,Flood,Mediterranean,4.1,None,600,Sandy,Moderate,143,92,18,Yes,4931,7396,68,Autumn,27,826,4.117289916,1.761769278,No,16.41179057,Yes,Yes,Yes,No,61,14,Medium
Broccoli,17998,None,Temperate,6.27,Mulching,219,Sandy,Severe,108,239,53,No,1375,2789,204,Summer,22,894,8.252153068,0.645227071,No,19.65007703,No,No,Yes,No,88,32,Medium
Carrots,6730,Flood,Continental,3.33,Efficient Irrigation,782,Sandy,Moderate,161,176,32,No,1343,8509,276,Winter,25,1663,3.406563648,2.020313824,Yes,19.17151265,Yes,No,Yes,Yes,93,17,Low
Carrots,6459,Drip,Arid,4.84,Efficient Irrigation,971,Sandy,High,52,238,51,No,2144,4612,268,Autumn,20,1522,5.194632298,2.467740309,No,16.54411066,Yes,No,Yes,Yes,63,10,High
Rice,17029,Drip,Continental,6.48,Efficient Irrigation,996,Silty,High,39,217,84,Yes,1232,3450,336,Autumn,40,658,6.981333593,3.294581647,No,16.94842926,Yes,No,No,No,74,88,Low
Cauliflower,16758,Sprinkler,Temperate,2.74,Efficient Irrigation,143,Loamy,Moderate,35,206,59,No,4561,10554,286,Spring,13,639,4.720546019,2.701567876,No,2.813412323,No,No,Yes,Yes,95,77,Medium
Grapes,885,Drip,Tropical,7.72,Crop Cover,135,Sandy,Moderate,22,203,15,Yes,4516,14693,212,Summer,24,1065,3.517156964,1.020566272,Yes,7.078947686,Yes,Yes,No,Yes,94,99,Low
Avocados,14385,Drip,Mediterranean,2.28,Mulching,653,Clayey,High,175,67,50,No,363,6729,102,Autumn,24,497,4.226294524,1.438923483,Yes,13.15069392,Yes,No,Yes,Yes,72,57,High
Peaches,18994,Drip,Mediterranean,7.87,None,464,Sandy,Severe,42,294,10,No,3245,14925,164,Summer,22,1248,5.398439236,2.512197633,Yes,9.833357036,No,Yes,No,No,60,28,High
Spinach,1725,Flood,Continental,3.47,None,743,Silty,High,91,246,72,Yes,2943,10414,168,Autumn,20,283,2.788373921,0.791278778,No,8.252064228,Yes,No,Yes,No,50,66,Low
Mangoes,17928,Flood,Mediterranean,3.19,None,254,Loamy,Moderate,157,240,45,No,3784,4850,119,Spring,27,874,9.238923654,2.991621926,No,6.481431264,No,No,No,Yes,86,81,High
Wheat,18031,Drip,Semi-arid,6,None,414,Clayey,Moderate,74,111,57,Yes,3095,3284,285,Autumn,11,1435,1.536029801,2.358752066,No,13.7335439,No,Yes,No,Yes,68,10,Medium
Beans,13852,Flood,Continental,5.97,Efficient Irrigation,715,Silty,Low,92,98,46,Yes,4377,1684,323,Spring,29,554,2.341578483,3.616804321,Yes,11.74787457,No,No,Yes,No,70,44,Low
Cauliflower,8291,Flood,Arid,7.38,Crop Cover,429,Clayey,Low,153,155,72,No,2887,3693,75,Spring,40,913,8.091492922,0.512138982,Yes,18.27743999,Yes,No,No,No,56,80,Low
Oats,12642,Drip,Mediterranean,5.09,Efficient Irrigation,751,Loamy,High,62,291,22,Yes,971,3901,189,Winter,15,1855,9.918749244,3.593387743,Yes,16.48546796,No,Yes,No,Yes,54,76,Medium
Avocados,9502,None,Tropical,7.31,Efficient Irrigation,508,Silty,Severe,193,274,52,Yes,3801,13846,250,Spring,35,1181,5.588390556,3.572028195,Yes,17.58574573,No,No,Yes,Yes,61,31,Low
Beans,18118,Drip,Continental,9.49,Mulching,613,Loamy,Moderate,169,253,56,No,4894,12053,255,Winter,35,684,5.724087173,0.269196353,No,17.77249022,Yes,No,Yes,Yes,85,35,Medium
Pumpkins,4785,Drip,Temperate,2.99,Crop Cover,783,Loamy,Low,44,296,20,Yes,4803,6409,278,Autumn,29,1278,3.95442155,4.085834324,Yes,1.529668667,Yes,No,Yes,No,58,35,Low
Pumpkins,13720,Flood,Arid,9.89,Mulching,811,Silty,High,139,113,32,No,1774,6156,327,Summer,33,1766,8.041676428,3.183819582,No,17.08208959,Yes,No,No,Yes,85,81,Medium
Lettuce,4484,Drip,Temperate,7.15,None,705,Sandy,High,57,271,17,Yes,3963,14769,141,Summer,19,1528,9.819906622,1.427276238,Yes,17.80888995,No,No,No,Yes,80,39,Medium
Broccoli,2684,Flood,Continental,4.14,Crop Cover,781,Silty,Low,174,241,52,Yes,4434,10611,244,Spring,32,915,3.659021,2.567887485,Yes,9.446631473,No,Yes,No,Yes,57,100,High
Blueberries,14737,None,Semi-arid,5.44,Crop Cover,812,Silty,Severe,153,94,78,No,768,14574,326,Summer,26,915,5.324532345,0.857420283,No,12.87380374,Yes,Yes,Yes,Yes,67,72,Medium
Oats,13570,None,Arid,1.59,Mulching,199,Clayey,Low,196,243,26,No,3298,12441,286,Winter,39,495,8.951963652,3.584640835,No,17.30828777,No,Yes,No,Yes,83,52,Low
Wheat,5818,Drip,Semi-arid,8.17,Efficient Irrigation,694,Silty,Severe,99,277,91,Yes,2190,11425,93,Winter,28,1094,6.83751933,3.892834342,No,9.141839138,Yes,No,No,No,87,100,High
Zucchini,12289,Sprinkler,Tropical,3.06,None,906,Sandy,Low,106,281,28,No,4831,6081,67,Spring,30,1454,3.96089918,3.848743345,Yes,6.082887841,No,Yes,Yes,No,86,96,Medium
Oats,3903,Drip,Arid,1.63,Mulching,679,Loamy,Low,145,263,90,Yes,644,8692,274,Spring,26,560,6.926215828,0.26751187,Yes,7.35284308,No,Yes,Yes,Yes,69,98,Medium
Wheat,697,Flood,Temperate,6.66,Mulching,663,Sandy,Moderate,78,267,82,Yes,4970,4766,200,Winter,28,617,7.971121425,0.679472405,Yes,6.216225812,Yes,Yes,No,No,53,10,High
Squash,13408,None,Continental,8.06,Efficient Irrigation,742,Sandy,Moderate,55,88,51,No,3138,8327,313,Summer,32,1135,5.116935465,0.374526631,No,9.270149209,No,No,No,No,67,20,Low
Plums,1569,Drip,Semi-arid,6.31,Efficient Irrigation,175,Loamy,High,39,172,34,Yes,1726,5787,361,Spring,14,917,3.034208829,3.248826648,Yes,16.18075404,Yes,Yes,Yes,Yes,95,34,Medium
Cherries,8495,Drip,Continental,8.51,Crop Cover,197,Sandy,High,148,254,56,Yes,4620,11266,98,Summer,27,328,3.150271957,1.735305064,No,19.25625185,No,Yes,Yes,Yes,92,43,High
Sugarcane,9651,None,Arid,7.08,Efficient Irrigation,873,Sandy,Moderate,62,266,73,No,620,828,157,Autumn,15,1748,9.128051384,3.726921941,Yes,4.461294281,No,No,No,Yes,68,47,Low
Tomatoes,2613,Drip,Temperate,1.31,Crop Cover,371,Clayey,Low,197,185,35,Yes,1689,7094,139,Autumn,13,1578,4.78830424,4.830398856,No,11.88992762,No,Yes,No,No,77,72,Medium
Oats,11064,Drip,Temperate,3.46,None,497,Clayey,High,161,152,42,No,960,1589,344,Autumn,15,1110,4.074049449,4.364176872,No,15.83381375,No,No,Yes,Yes,58,81,Low
Bananas,8257,None,Continental,1.92,None,266,Clayey,Low,39,119,41,No,4568,7737,262,Summer,25,1771,9.421088033,0.798891075,Yes,4.628836599,No,No,Yes,No,65,18,High
Blueberries,4816,Flood,Semi-arid,3.48,Efficient Irrigation,507,Silty,High,21,244,56,Yes,2132,8432,233,Summer,30,1084,7.937839221,3.304285262,No,14.33563653,No,No,Yes,Yes,93,62,Low
Sugarcane,16558,Flood,Arid,1.31,Crop Cover,369,Loamy,Moderate,51,191,44,No,3748,12839,276,Autumn,36,1599,7.708022881,0.697008242,Yes,14.17672961,No,Yes,Yes,No,93,39,High
Corn,3701,Drip,Continental,1.68,None,164,Silty,Moderate,162,206,53,Yes,4917,14832,271,Autumn,18,661,2.075729654,1.90300458,No,2.081311919,Yes,Yes,No,Yes,68,41,High
Oranges,19519,None,Mediterranean,5.65,None,929,Loamy,Severe,110,68,72,No,462,6461,75,Summer,33,1776,9.459821089,2.142272019,No,18.09034559,Yes,Yes,No,Yes,52,69,Medium
Sugarcane,16043,Flood,Temperate,9.91,None,176,Silty,Moderate,122,271,69,No,2910,13272,245,Winter,23,415,6.065252734,1.90490371,No,5.154242201,Yes,Yes,No,No,65,72,High
Soybeans,17391,Flood,Continental,8.64,Efficient Irrigation,320,Clayey,Severe,92,282,33,No,1518,2843,268,Summer,19,1517,8.756579388,4.24634699,No,9.175814899,Yes,No,Yes,No,78,31,Low
Soybeans,17479,Sprinkler,Mediterranean,8.71,Efficient Irrigation,772,Sandy,Severe,147,284,27,No,1516,13697,205,Summer,32,1503,9.424451665,4.372802549,No,19.31567897,Yes,No,Yes,No,88,77,High
Tomatoes,8832,Flood,Semi-arid,9.06,Mulching,934,Silty,Severe,80,198,64,Yes,459,5571,326,Autumn,17,1628,7.551277602,3.5015219,No,8.640630352,No,No,Yes,No,79,53,Medium
Spinach,19354,Drip,Temperate,7.81,Mulching,502,Clayey,Severe,30,228,26,Yes,1286,1398,67,Autumn,15,1820,5.959280767,3.604404874,Yes,18.04712001,No,No,Yes,Yes,80,55,Medium
Bananas,5666,Flood,Tropical,5.78,Mulching,137,Loamy,Low,135,285,14,No,1247,1105,68,Spring,30,609,6.142723008,1.418596018,Yes,16.16749945,No,No,No,Yes,67,60,Medium
Spinach,8661,Sprinkler,Continental,9.23,Efficient Irrigation,555,Silty,Moderate,122,279,92,No,714,493,278,Spring,26,1199,5.078966685,3.160126187,No,7.065390189,No,No,No,Yes,95,49,High
Plums,17697,Sprinkler,Arid,5.27,None,121,Loamy,Severe,33,97,95,No,4900,2751,354,Summer,21,344,9.991443163,4.376333624,No,17.33154386,No,No,No,No,66,23,High
Sugarcane,13543,None,Mediterranean,9.76,Crop Cover,659,Sandy,Low,178,64,86,Yes,4078,12208,170,Autumn,38,210,2.57969358,1.186828598,Yes,10.34424049,No,No,Yes,Yes,61,43,Low
Wheat,18268,Drip,Mediterranean,5.13,Efficient Irrigation,204,Sandy,Severe,180,264,63,Yes,1032,8894,189,Summer,29,1388,8.005479863,3.037438095,Yes,6.963384181,Yes,No,No,Yes,68,72,Low
Pumpkins,18525,Drip,Continental,7.22,None,902,Sandy,High,47,266,40,Yes,1091,14437,220,Autumn,26,998,1.281239376,1.588921534,Yes,17.28049567,Yes,Yes,Yes,Yes,74,36,Low
Cotton,15119,Drip,Tropical,7.51,None,841,Silty,Severe,26,259,83,Yes,3152,8211,315,Autumn,34,1074,2.840150087,3.396630137,Yes,5.98774836,Yes,Yes,Yes,Yes,64,55,Medium
Garlic,16082,None,Continental,4.09,Mulching,405,Sandy,Low,40,191,72,No,4517,4426,280,Autumn,31,1717,5.106945042,3.734512281,Yes,12.4950445,Yes,No,No,No,52,57,Medium
Cotton,1633,Sprinkler,Semi-arid,8.59,Efficient Irrigation,950,Loamy,High,117,245,51,No,1602,8671,177,Autumn,36,494,1.712774133,4.216518604,No,12.42501158,No,Yes,Yes,No,93,33,High
Potatoes,1129,Sprinkler,Tropical,6.26,Mulching,686,Loamy,Low,19,231,48,Yes,4595,14404,213,Summer,21,212,7.776816289,0.657553888,No,1.503871526,No,Yes,Yes,No,58,51,Low
Cabbage,5167,Flood,Tropical,7.22,None,622,Sandy,High,197,210,92,Yes,1274,7045,190,Spring,29,498,8.432673465,2.228641799,Yes,16.33703784,No,Yes,Yes,Yes,82,57,Medium
Quinoa,3726,None,Temperate,2.84,Crop Cover,523,Clayey,High,165,148,77,No,2717,5939,248,Autumn,39,1526,4.168337443,1.331176321,No,6.601043407,Yes,Yes,No,Yes,92,15,Medium
Potatoes,1839,Sprinkler,Temperate,1.11,Crop Cover,237,Silty,Moderate,69,138,54,Yes,4061,6750,203,Winter,29,1536,7.229693766,2.84116242,No,8.153893324,No,No,Yes,No,71,66,Medium
Beans,19420,None,Tropical,8.72,Crop Cover,476,Loamy,Moderate,101,220,78,No,3207,12295,355,Winter,14,357,2.693148097,3.46943423,No,18.78636463,Yes,Yes,No,Yes,63,26,High
Lettuce,5277,Sprinkler,Semi-arid,5.69,None,137,Loamy,Low,61,105,20,No,3861,1778,198,Winter,40,1510,1.49687153,1.644026992,No,5.586757819,No,No,No,Yes,67,18,Low
Soybeans,663,Flood,Tropical,5.9,Efficient Irrigation,252,Sandy,Low,105,54,81,Yes,4000,4070,189,Spring,35,1501,7.768006258,1.625817295,Yes,4.828654924,Yes,Yes,No,No,74,28,Low
Pears,15100,Sprinkler,Arid,8.68,Mulching,929,Loamy,Low,53,142,37,No,1204,10603,293,Winter,24,926,4.410599486,3.637145785,No,10.51765631,Yes,Yes,No,Yes,65,39,High
Pears,12174,Drip,Semi-arid,9.99,None,803,Silty,Moderate,193,291,11,Yes,4539,629,248,Autumn,40,293,7.454332953,4.234488489,No,17.58230448,Yes,Yes,Yes,No,68,83,Medium
Oats,17577,Sprinkler,Semi-arid,5.38,Crop Cover,793,Sandy,Low,32,110,95,No,367,2091,135,Summer,13,1996,7.81942612,1.361508922,No,9.033132211,No,Yes,No,Yes,56,80,Medium
Strawberries,6952,Flood,Mediterranean,2.09,Mulching,846,Clayey,High,143,190,21,Yes,1003,11800,78,Summer,25,1367,9.343211087,4.442107192,No,6.13283365,Yes,No,No,Yes,54,97,Medium
Broccoli,10502,Drip,Continental,3.36,None,858,Clayey,Low,38,170,79,No,1215,9470,187,Autumn,30,605,5.061017976,0.11581519,No,15.53846782,No,Yes,Yes,No,73,85,Medium
Strawberries,17510,None,Tropical,7.87,Mulching,279,Loamy,Low,119,231,30,Yes,3104,12299,297,Spring,28,340,3.347531916,0.471762434,No,12.61198909,No,No,Yes,No,73,75,Low
Pineapples,10195,Sprinkler,Temperate,8.83,Crop Cover,635,Loamy,Severe,120,120,47,No,2214,3662,273,Summer,11,1408,6.111671095,4.335919018,No,9.337056885,Yes,Yes,No,Yes,58,32,Medium
Cauliflower,15967,Sprinkler,Arid,6.04,Efficient Irrigation,120,Sandy,Low,187,294,13,No,364,5519,118,Autumn,17,1864,2.984317102,0.762976099,Yes,5.101995304,No,No,Yes,No,70,43,Medium
Potatoes,12652,None,Semi-arid,7.92,None,578,Silty,Low,176,172,39,No,884,12346,233,Winter,17,1762,2.852408242,3.946056917,Yes,17.89650884,No,Yes,No,Yes,55,29,Medium
Garlic,12128,Sprinkler,Mediterranean,8.68,Mulching,119,Clayey,Low,35,77,82,Yes,2184,11140,204,Spring,27,1990,3.922242491,1.662011406,Yes,9.853075213,Yes,Yes,No,No,91,42,High
Peas,11616,None,Temperate,4.52,Crop Cover,233,Sandy,Low,53,246,20,Yes,601,7255,335,Winter,28,246,2.636466853,2.18667961,No,7.57954791,No,No,No,Yes,53,39,Low
Strawberries,2484,Flood,Mediterranean,5.96,Crop Cover,829,Sandy,Severe,180,204,51,Yes,2454,9437,196,Spring,37,704,1.827798331,1.215463457,No,7.231252042,Yes,Yes,No,No,76,69,High
Oranges,2764,Drip,Semi-arid,2.26,Efficient Irrigation,375,Clayey,Severe,175,247,15,No,4475,14992,298,Summer,21,1384,3.872961958,2.269389901,Yes,10.14373127,Yes,Yes,No,Yes,79,65,Medium
Spinach,15829,Flood,Semi-arid,7.25,Crop Cover,327,Silty,Low,100,264,29,Yes,4310,13383,103,Spring,18,864,1.550118774,1.307976221,Yes,5.704539176,Yes,Yes,No,Yes,63,99,High
Avocados,16520,Drip,Arid,8.87,None,761,Clayey,Severe,24,288,38,Yes,605,244,302,Spring,34,1217,4.512208357,3.655125503,Yes,17.08185113,Yes,No,No,No,51,18,High
Apples,15332,None,Mediterranean,7.6,Mulching,866,Sandy,High,71,266,19,Yes,1391,6177,238,Winter,15,1329,2.844864716,0.884415132,Yes,9.774635738,No,Yes,Yes,No,85,57,High
Blueberries,13979,Drip,Tropical,2.58,Crop Cover,449,Loamy,Low,38,157,89,Yes,1741,11582,321,Autumn,18,1529,9.464389373,3.043630194,Yes,19.11325943,No,Yes,No,Yes,72,55,Low
Peaches,12368,Drip,Semi-arid,7.94,Crop Cover,951,Silty,Low,188,92,87,No,4949,11705,345,Spring,39,824,5.939342381,1.070004325,No,4.448356025,Yes,No,Yes,Yes,86,57,Medium
